Date,Open,High,Low,Close,Adj Close,Volume
2010-08-02,54.849998,55.889999,54.770000,55.720001,44.894726,27579000
2010-08-03,55.490002,56.060001,55.240002,55.700001,44.878605,14254500
2010-08-04,55.849998,56.270000,55.580002,56.130001,45.225071,13107700
2010-08-05,55.759998,56.310001,55.500000,56.310001,45.370098,8908700
2010-08-06,55.610001,55.919998,54.830002,55.639999,44.830276,18117400
2010-08-09,55.900002,56.070000,55.529999,55.869999,45.015587,6714200
2010-08-10,55.220001,55.680000,54.849998,55.410000,44.644943,12260500
2010-08-11,54.389999,54.470001,53.580002,53.759998,43.315510,18829700
2010-08-12,52.970001,53.860001,52.900002,53.439999,43.057682,15255400
2010-08-13,53.320000,53.840000,53.189999,53.349998,42.985161,9099700
2010-08-16,53.060001,53.490002,52.750000,53.340000,42.977108,10285700
2010-08-17,53.880001,54.509998,53.619999,54.230000,43.694210,18017400
2010-08-18,54.080002,54.160000,53.220001,53.709999,43.275230,18693900
2010-08-19,53.450001,53.549999,52.540001,52.840000,42.574249,16499100
2010-08-20,52.549999,52.590000,51.770000,52.189999,42.050522,12424700
2010-08-23,52.290001,52.720001,52.169998,52.209999,42.066647,8175800
2010-08-24,51.500000,52.090000,51.220001,51.400002,41.414013,14738800
2010-08-25,51.110001,51.400002,50.419998,51.240002,41.285099,19336700
2010-08-26,51.529999,51.700001,50.490002,50.779999,40.914474,10976800
2010-08-27,51.080002,52.200001,50.330002,52.099998,41.978016,19708700
2010-08-30,52.000000,52.240002,51.330002,51.340000,41.365665,9156600
2010-08-31,51.110001,51.599998,50.810001,51.200001,41.252872,17578700
2010-09-01,52.049999,53.240002,51.970001,53.110001,42.791801,19132900
2010-09-02,53.180000,53.650002,52.880001,53.549999,43.146320,9848700
2010-09-03,54.029999,54.439999,53.750000,54.200001,43.670033,13247100
2010-09-07,53.790001,53.849998,53.220001,53.389999,43.017391,11407000
2010-09-08,53.450001,54.119999,53.419998,53.849998,43.388035,9292200
2010-09-09,54.509998,54.610001,53.759998,53.959999,43.476662,7836700
2010-09-10,54.279999,54.630001,54.180000,54.520000,43.927868,7595300
2010-09-13,55.000000,55.070000,54.570000,54.959999,44.282383,9131600
2010-09-14,54.849998,55.230000,54.540001,54.770000,44.129295,13977900
2010-09-15,54.400002,54.669998,54.090000,54.660000,44.040665,14113000
2010-09-16,54.389999,54.639999,54.080002,54.410000,43.839226,16758800
2010-09-17,54.320000,54.410000,53.709999,53.889999,43.619881,14352900
2010-09-20,54.060001,55.009998,53.820000,54.799999,44.356441,19390900
2010-09-21,54.869999,55.169998,54.369999,54.840000,44.388836,16766500
2010-09-22,54.730000,55.369999,54.400002,54.439999,44.065060,16159000
2010-09-23,53.959999,54.560001,53.820000,54.099998,43.789845,12358400
2010-09-24,54.700001,55.540001,54.470001,55.270000,44.736874,24624500
2010-09-27,55.410000,55.599998,55.060001,55.060001,44.566906,10891500
2010-09-28,55.110001,55.650002,54.549999,55.450001,44.882584,16579600
2010-09-29,55.360001,56.299999,55.250000,56.040001,45.360142,21492900
2010-09-30,56.480000,56.750000,55.500000,56.060001,45.376331,23169800
2010-10-01,56.599998,56.950001,56.259998,56.810001,45.983395,20009900
2010-10-04,56.540001,56.889999,55.680000,56.099998,45.408699,14752700
2010-10-05,56.709999,57.630001,56.599998,57.419998,46.477146,21615800
2010-10-06,57.419998,58.110001,57.400002,57.930000,46.889938,14105100
2010-10-07,58.169998,58.240002,57.209999,57.639999,46.655220,13562800
2010-10-08,57.590000,58.580002,57.459999,58.360001,47.238003,15838800
2010-10-11,58.400002,58.820000,58.299999,58.520000,47.367516,8046000
2010-10-12,58.270000,58.689999,57.630001,58.430000,47.294666,16665100
2010-10-13,58.779999,59.439999,58.660000,59.139999,47.869354,14681400
2010-10-14,58.950001,59.459999,58.570000,59.049999,47.796509,11502800
2010-10-15,59.380001,59.470001,58.560001,59.209999,47.926010,15076800
2010-10-18,59.060001,59.810001,58.880001,59.369999,48.055523,10927200
2010-10-19,58.750000,58.860001,57.700001,58.189999,47.100414,19284200
2010-10-20,58.389999,59.310001,58.169998,58.939999,47.707481,12628600
2010-10-21,59.110001,59.580002,58.270000,58.910000,47.683186,13413000
2010-10-22,59.209999,59.490002,59.020000,59.299999,47.998863,6558800
2010-10-25,59.759998,60.290001,59.360001,59.459999,48.128376,11353200
2010-10-26,59.290001,59.650002,59.110001,59.580002,48.225506,10687900
2010-10-27,59.040001,59.389999,58.439999,59.330002,48.023148,12902400
2010-10-28,59.720001,59.869999,58.970001,59.200001,47.917934,11587800
2010-10-29,58.889999,59.299999,58.759998,59.240002,47.950306,9359200
2010-11-01,59.830002,60.169998,59.070000,59.310001,48.006958,12020600
2010-11-02,59.750000,60.240002,59.540001,59.959999,48.533081,10227500
2010-11-03,60.160000,60.209999,59.189999,60.090000,48.638306,22727400
2010-11-04,60.970001,62.020000,60.970001,62.000000,50.184307,19328500
2010-11-05,61.939999,62.310001,61.750000,62.310001,50.435238,14685900
2010-11-08,61.950001,62.580002,61.910000,62.500000,50.589024,11988700
2010-11-09,62.790001,63.259998,62.009998,62.380001,50.491898,20063800
2010-11-10,62.580002,63.209999,61.930000,63.180000,51.139435,17778300
2010-11-11,62.889999,63.889999,62.849998,63.880001,51.706024,18040700
2010-11-12,63.180000,63.480000,62.380001,62.939999,50.945168,17874300
2010-11-15,63.330002,63.360001,62.610001,62.619999,50.686157,10751300
2010-11-16,61.990002,62.009998,60.959999,61.450001,49.739120,23699800
2010-11-17,61.299999,62.099998,61.119999,61.700001,49.941479,16817800
2010-11-18,62.299999,63.259998,62.299999,63.060001,51.042305,16052500
2010-11-19,62.880001,63.610001,62.410000,63.590000,51.471298,11360800
2010-11-22,63.240002,63.430000,62.150002,63.389999,51.309414,18131500
2010-11-23,62.480000,62.509998,61.580002,62.150002,50.305733,22535000
2010-11-24,62.580002,63.340000,62.540001,63.270000,51.212288,22622600
2010-11-26,62.650002,63.040001,62.349998,62.509998,50.597122,6589400
2010-11-29,62.200001,63.070000,61.630001,62.930000,50.937084,14734400
2010-11-30,62.110001,63.220001,61.919998,62.709999,50.758995,19268800
2010-12-01,63.740002,64.720001,63.740002,64.570000,52.264526,19973800
2010-12-02,64.550003,65.570000,64.540001,65.529999,53.041580,17677600
2010-12-03,65.139999,65.940002,65.110001,65.820000,53.276306,10011700
2010-12-06,65.769997,66.199997,65.720001,66.040001,53.454380,11990200
2010-12-07,66.900002,67.000000,65.629997,65.790001,53.252022,22932400
2010-12-08,65.860001,66.160004,65.070000,65.480003,53.001110,12760200
2010-12-09,65.809998,65.949997,65.040001,65.629997,53.122520,10952400
2010-12-10,65.779999,65.970001,65.489998,65.900002,53.341064,8676100
2010-12-13,66.309998,66.970001,66.220001,66.459999,53.794346,12884400
2010-12-14,66.540001,66.720001,65.930000,66.150002,53.543423,11514600
2010-12-15,65.870003,66.379997,65.599998,65.790001,53.252022,11116100
2010-12-16,65.769997,66.180000,65.250000,66.160004,53.551514,11025800
2010-12-17,65.849998,65.980003,65.589996,65.889999,53.570206,11322400
2010-12-20,66.139999,66.529999,65.769997,66.320000,53.919823,10234700
2010-12-21,66.690002,67.070000,66.480003,66.989998,54.464535,8701000
2010-12-22,67.190002,67.290001,66.989998,67.220001,54.651543,7855500
2010-12-23,67.150002,67.489998,67.110001,67.410004,54.806034,4526000
2010-12-27,67.089996,67.290001,66.910004,67.169998,54.610889,4143200
2010-12-28,67.260002,67.529999,67.120003,67.419998,54.814148,5149100
2010-12-29,67.650002,68.260002,67.529999,68.089996,55.358864,5532700
2010-12-30,68.150002,68.470001,67.910004,68.150002,55.407646,5976700
2010-12-31,68.129997,68.500000,67.930000,68.250000,55.488960,4444500
2011-01-03,68.900002,69.190002,68.599998,68.760002,55.903595,10195800
2011-01-04,69.190002,69.190002,67.519997,68.169998,55.423916,14542000
2011-01-05,67.830002,68.559998,67.570000,68.440002,55.643433,11286200
2011-01-06,68.669998,68.699997,67.500000,67.790001,55.114967,11449200
2011-01-07,67.820000,68.440002,67.599998,68.279999,55.513363,11080300
2011-01-10,68.070000,68.139999,67.489998,68.010002,55.293831,10804200
2011-01-11,68.449997,69.220001,68.360001,69.139999,56.212543,11365300
2011-01-12,69.750000,70.129997,69.430000,70.089996,56.984917,11026600
2011-01-13,70.199997,70.349998,69.639999,69.889999,56.822327,11521900
2011-01-14,69.800003,70.669998,69.480003,70.650002,57.440231,14005400
